File,Train/Test
BRATS_076,Train
BRATS_077,Train
BRATS_092,Train
BRATS_095,Train
BRATS_106,Train
BRATS_117,Train
BRATS_123,Train
BRATS_124,Train
BRATS_126,Train
BRATS_129,Train
BRATS_134,Train
BRATS_145,Train
BRATS_148,Train
BRATS_158,Train
BRATS_166,Train
BRATS_168,Train
BRATS_183,Train
BRATS_187,Train
BRATS_188,Train
BRATS_191,Train
BRATS_197,Train
BRATS_209,Train
BRATS_217,Train
BRATS_222,Train
BRATS_226,Train
BRATS_228,Train
BRATS_229,Train
BRATS_237,Train
BRATS_246,Train
BRATS_251,Train
BRATS_254,Train
BRATS_279,Train
BRATS_284,Train
BRATS_288,Train
BRATS_304,Train
BRATS_317,Train
BRATS_326,Train
BRATS_352,Train
BRATS_369,Train
BRATS_385,Train
BRATS_391,Train
BRATS_407,Train
BRATS_410,Train
BRATS_412,Train
BRATS_413,Train
BRATS_427,Train
BRATS_431,Train
BRATS_432,Train
BRATS_433,Train
BRATS_436,Train
BRATS_437,Train
BRATS_438,Train
BRATS_454,Train
BRATS_456,Train
BRATS_473,Train
BRATS_474,Train
BRATS_477,Train
BRATS_001,Test
BRATS_002,Test
BRATS_003,Test
BRATS_004,Test
BRATS_005,Test
BRATS_006,Test
BRATS_007,Test
BRATS_008,Test
BRATS_009,Test
BRATS_010,Test
BRATS_011,Test
BRATS_012,Test
BRATS_013,Test
BRATS_014,Test
BRATS_015,Test
BRATS_016,Test
BRATS_017,Test
BRATS_018,Test
BRATS_019,Test
BRATS_020,Test
BRATS_021,Test
BRATS_022,Test
BRATS_024,Test
BRATS_026,Test
BRATS_028,Test
BRATS_030,Test
BRATS_031,Test
BRATS_032,Test
BRATS_033,Test
BRATS_035,Test
BRATS_036,Test
BRATS_037,Test
BRATS_038,Test
BRATS_039,Test
BRATS_040,Test
BRATS_043,Test
BRATS_044,Test
BRATS_045,Test
BRATS_046,Test
BRATS_048,Test
BRATS_049,Test
BRATS_050,Test
BRATS_051,Test
BRATS_052,Test
BRATS_053,Test
BRATS_054,Test
BRATS_055,Test
BRATS_056,Test
BRATS_057,Test
BRATS_058,Test
BRATS_059,Test
BRATS_060,Test
BRATS_061,Test
BRATS_062,Test
BRATS_063,Test